size,iteration,floyd-warshall (sparse),floyd-warshall (dense),dijkstra (sparse),dijkstra (dense)
10,0,19,17,50,51
10,1,18,16,48,48
10,2,17,16,47,46
10,3,17,16,45,42
10,4,16,15,43,42
10,5,20,17,51,51
10,6,19,16,44,44
10,7,16,16,45,43
10,8,16,16,44,41
10,9,16,15,42,42
20,0,93,114,310,322
20,1,93,96,305,320
20,2,120,108,310,317
20,3,96,127,386,398
20,4,119,124,386,386
20,5,95,101,307,327
20,6,96,98,305,328
20,7,117,122,370,343
20,8,95,98,300,325
20,9,92,96,284,322
30,0,257,285,900,1009
30,1,559,456,1396,1444
30,2,323,347,910,922
30,3,290,280,900,916
30,4,260,282,883,915
30,5,255,274,974,1043
30,6,259,271,868,920
30,7,323,349,903,918
30,8,258,277,887,1005
30,9,323,290,883,925
40,0,570,638,2216,2400
40,1,590,631,2161,2110
40,2,606,630,2228,2060
40,3,641,627,2274,2142
40,4,676,629,2096,2249
40,5,706,626,2034,2068
40,6,737,855,2128,2045
40,7,589,625,2055,2074
40,8,693,630,2018,2272
40,9,588,632,2009,2071
50,0,1118,1148,3661,3905
50,1,1262,1142,3659,3834
50,2,1291,1141,4133,3694
50,3,1196,1300,3643,4173
50,4,1257,1127,3637,3681
50,5,1109,1154,4093,3701
50,6,1080,1267,4216,4258
50,7,1086,1145,3686,3669
50,8,1079,1143,4340,4071
50,9,1137,1146,3680,3824
60,0,1871,2270,6775,6718
60,1,1947,1976,6244,6495
60,2,1848,2074,6969,6847
60,3,1849,1964,7200,6675
60,4,3514,3447,7694,8012
60,5,1848,1959,6145,6400
60,6,2131,2589,7008,6521
60,7,2055,1958,6339,7119
60,8,2100,2216,6927,6745
60,9,2237,2214,6614,6930
70,0,3353,3278,11479,10044
70,1,3139,3332,11244,10646
70,2,3039,3184,10449,10298
70,3,3179,3183,10262,10317
70,4,3572,3177,10274,11067
70,5,3305,3182,10529,10433
70,6,3181,3336,11050,10954
70,7,3115,3175,10558,10411
70,8,2868,3188,10187,10156
70,9,3289,3313,10453,10358
80,0,4618,4765,21506,15271
80,1,4751,4618,18470,15362
80,2,4451,4617,21779,15645
80,3,4552,4701,15848,15584
80,4,4310,4788,16547,15302
80,5,4697,4629,18746,17309
80,6,4816,4509,15557,14900
80,7,4777,4872,16306,15246
80,8,4660,4622,15663,15934
80,9,4896,4624,15338,15110
90,0,6137,6806,23077,21912
90,1,6499,6560,22716,21817
90,2,7098,6549,24119,20983
90,3,6866,6768,21661,21266
90,4,6305,6837,22656,22117
90,5,7007,6738,22269,21621
90,6,6890,6748,24515,21806
90,7,6847,7005,23293,22675
90,8,6608,6553,22340,21409
90,9,6770,6557,23666,21165
